number,value,datetime_start,datetime_complete,duration,params_alpha,system_attrs_auto:sampler,state
0,-233217822959038.2,2025-08-09 21:04:39.501410,2025-08-09 21:04:39.519980,0 days 00:00:00.018570,0.1877177158635884,RandomSampler,COMPLETE
1,-235559841894619.28,2025-08-09 21:04:39.520139,2025-08-09 21:04:39.543268,0 days 00:00:00.023129,0.11233621690895225,GPSampler,COMPLETE
2,-255361022673802.16,2025-08-09 21:04:39.543427,2025-08-09 21:04:39.567205,0 days 00:00:00.023778,4.351397079152047,GPSampler,COMPLETE
3,-333606099522868.94,2025-08-09 21:04:39.567335,2025-08-09 21:04:39.623213,0 days 00:00:00.055878,46.16788656537443,GPSampler,COMPLETE
4,-238956347742805.22,2025-08-09 21:04:39.623354,2025-08-09 21:04:39.647156,0 days 00:00:00.023802,0.03793132097255541,GPSampler,COMPLETE
5,-239256468579820.66,2025-08-09 21:04:39.647281,2025-08-09 21:04:39.871823,0 days 00:00:00.224542,2.2425376406560105,GPSampler,COMPLETE
6,-235363892786096.44,2025-08-09 21:04:39.872078,2025-08-09 21:04:40.091193,0 days 00:00:00.219115,0.11765033345445937,GPSampler,COMPLETE
7,-237962898328825.3,2025-08-09 21:04:40.091317,2025-08-09 21:04:40.131142,0 days 00:00:00.039825,0.05684034097210141,GPSampler,COMPLETE
8,-259640846956239.8,2025-08-09 21:04:40.131263,2025-08-09 21:04:40.155206,0 days 00:00:00.023943,4.983347481602243,GPSampler,COMPLETE
9,-239216117788547.8,2025-08-09 21:04:40.155338,2025-08-09 21:04:40.190054,0 days 00:00:00.034716,0.033290211565094166,GPSampler,COMPLETE
10,-241220280091755.34,2025-08-09 21:04:40.190177,2025-08-09 21:04:40.953116,0 days 00:00:00.762939,0.0010000000000000002,GPSampler,COMPLETE
11,-229086588140649.2,2025-08-09 21:04:40.953458,2025-08-09 21:04:41.251446,0 days 00:00:00.297988,0.6291179218120826,GPSampler,COMPLETE
12,-229141751428108.1,2025-08-09 21:04:41.251607,2025-08-09 21:04:42.247228,0 days 00:00:00.995621,0.7096304442915901,GPSampler,COMPLETE
13,-229087739790241.78,2025-08-09 21:04:42.247896,2025-08-09 21:04:42.849137,0 days 00:00:00.601241,0.6241930959438637,GPSampler,COMPLETE
14,-229086369311719.78,2025-08-09 21:04:42.849426,2025-08-09 21:04:44.207471,0 days 00:00:01.358045,0.6304802528244852,GPSampler,COMPLETE
15,-229086052844465.22,2025-08-09 21:04:44.207667,2025-08-09 21:04:45.599451,0 days 00:00:01.391784,0.6332946318980203,GPSampler,COMPLETE
16,-229086013363674.16,2025-08-09 21:04:45.600133,2025-08-09 21:04:46.943248,0 days 00:00:01.343115,0.6338280465303645,GPSampler,COMPLETE
17,-229085938869690.53,2025-08-09 21:04:46.943596,2025-08-09 21:04:48.291297,0 days 00:00:01.347701,0.6352787012831729,GPSampler,COMPLETE
18,-229085941698291.0,2025-08-09 21:04:48.291656,2025-08-09 21:04:49.435521,0 days 00:00:01.143865,0.6351995076937411,GPSampler,COMPLETE
19,-229085932206695.06,2025-08-09 21:04:49.435715,2025-08-09 21:04:50.787587,0 days 00:00:01.351872,0.6354838366611304,GPSampler,COMPLETE
20,-229085961119663.22,2025-08-09 21:04:50.787790,2025-08-09 21:04:52.100931,0 days 00:00:01.313141,0.6347359743227791,GPSampler,COMPLETE
21,-229085912776873.8,2025-08-09 21:04:52.101112,2025-08-09 21:04:53.524246,0 days 00:00:01.423134,0.6365868513430794,GPSampler,COMPLETE
22,-229085912775241.78,2025-08-09 21:04:53.524449,2025-08-09 21:04:54.639238,0 days 00:00:01.114789,0.6365871654109887,GPSampler,COMPLETE
23,-229085912212972.3,2025-08-09 21:04:54.639567,2025-08-09 21:04:55.623367,0 days 00:00:00.983800,0.636783170938414,GPSampler,COMPLETE
24,-229085918943194.78,2025-08-09 21:04:55.623580,2025-08-09 21:04:56.707387,0 days 00:00:01.083807,0.6375833886328258,GPSampler,COMPLETE
25,-229085936642124.2,2025-08-09 21:04:56.707657,2025-08-09 21:04:57.956966,0 days 00:00:01.249309,0.6353440803651275,GPSampler,COMPLETE
26,-229085912264528.78,2025-08-09 21:04:57.957229,2025-08-09 21:04:58.819183,0 days 00:00:00.861954,0.636884996606529,GPSampler,COMPLETE
27,-229085912210784.66,2025-08-09 21:04:58.819465,2025-08-09 21:05:00.047460,0 days 00:00:01.227995,0.6367867919996242,GPSampler,COMPLETE
28,-229085912472075.16,2025-08-09 21:05:00.047659,2025-08-09 21:05:01.231394,0 days 00:00:01.183735,0.6369656835928643,GPSampler,COMPLETE
29,-229085912210743.3,2025-08-09 21:05:01.231522,2025-08-09 21:05:02.723151,0 days 00:00:01.491629,0.6367868082157246,GPSampler,COMPLETE
30,-229085962564958.7,2025-08-09 21:05:02.723432,2025-08-09 21:05:03.811203,0 days 00:00:01.087771,0.6389225394200904,GPSampler,COMPLETE
31,-229085984751504.8,2025-08-09 21:05:03.811339,2025-08-09 21:05:05.071271,0 days 00:00:01.259932,0.6393457323665905,GPSampler,COMPLETE
32,-229085927828207.62,2025-08-09 21:05:05.071431,2025-08-09 21:05:06.275454,0 days 00:00:01.204023,0.6379868919775309,GPSampler,COMPLETE
33,-229086414660466.9,2025-08-09 21:05:06.275897,2025-08-09 21:05:07.695333,0 days 00:00:01.419436,0.6301746645608819,GPSampler,COMPLETE
34,-229085952071465.38,2025-08-09 21:05:07.695799,2025-08-09 21:05:09.043400,0 days 00:00:01.347601,0.6386895766929135,GPSampler,COMPLETE
35,-229086880586576.12,2025-08-09 21:05:09.044021,2025-08-09 21:05:10.653154,0 days 00:00:01.609133,0.6276099680657391,GPSampler,COMPLETE
36,-229086632600971.06,2025-08-09 21:05:10.654051,2025-08-09 21:05:11.648449,0 days 00:00:00.994398,0.6448193076547528,GPSampler,COMPLETE
37,-229085934746028.03,2025-08-09 21:05:11.649115,2025-08-09 21:05:12.913430,0 days 00:00:01.264315,0.6382234393224702,GPSampler,COMPLETE
38,-229086021869558.34,2025-08-09 21:05:12.913741,2025-08-09 21:05:14.047223,0 days 00:00:01.133482,0.6399281806929675,GPSampler,COMPLETE
39,-229085912206432.84,2025-08-09 21:05:14.047605,2025-08-09 21:05:15.247268,0 days 00:00:01.199663,0.636796299608019,GPSampler,COMPLETE
40,-229086026361522.88,2025-08-09 21:05:15.247435,2025-08-09 21:05:16.583471,0 days 00:00:01.336036,0.6399914683361322,GPSampler,COMPLETE
41,-229085969865364.34,2025-08-09 21:05:16.584053,2025-08-09 21:05:17.771577,0 days 00:00:01.187524,0.6390705277005664,GPSampler,COMPLETE
42,-229085951530836.53,2025-08-09 21:05:17.771841,2025-08-09 21:05:19.003510,0 days 00:00:01.231669,0.6386767879506522,GPSampler,COMPLETE
43,-229089414947566.78,2025-08-09 21:05:19.003814,2025-08-09 21:05:20.575492,0 days 00:00:01.571678,0.6193862627038907,GPSampler,COMPLETE
44,-229086009134859.7,2025-08-09 21:05:20.576123,2025-08-09 21:05:21.795383,0 days 00:00:01.219260,0.639741372396105,GPSampler,COMPLETE
45,-229085917292517.84,2025-08-09 21:05:21.795885,2025-08-09 21:05:23.381771,0 days 00:00:01.585886,0.6361417466102821,GPSampler,COMPLETE
46,-229086040263607.0,2025-08-09 21:05:23.382128,2025-08-09 21:05:25.007571,0 days 00:00:01.625443,0.6334553469749468,GPSampler,COMPLETE
47,-229087332796437.84,2025-08-09 21:05:25.008033,2025-08-09 21:05:26.403523,0 days 00:00:01.395490,0.6256778934346462,GPSampler,COMPLETE
48,-229085912992554.8,2025-08-09 21:05:26.404040,2025-08-09 21:05:28.087903,0 days 00:00:01.683863,0.6365479039357722,GPSampler,COMPLETE
49,-229085912206364.1,2025-08-09 21:05:28.088313,2025-08-09 21:05:29.848215,0 days 00:00:01.759902,0.6367965211025793,GPSampler,COMPLETE
