Feature,Pearson,Spearman,Abs_Pearson,Abs_Spearman
AI_Rendita,0.6880514357572296,0.6751569418319886,0.6880514357572296,0.6751569418319886
AI_SuperficieVisuraTotaleAttuale,0.672244145895761,0.6862508817691517,0.672244145895761,0.6862508817691517
AI_SuperficieVisuraTotaleEAttuale,0.6691596965254847,0.6779058185697107,0.6691596965254847,0.6779058185697107
AI_Superficie,0.6691563938894929,0.6714491214912126,0.6691563938894929,0.6714491214912126
AI_SuperficieVisuraTotale,0.6691563938894929,0.6714491214912126,0.6691563938894929,0.6714491214912126
AI_SuperficieVisuraTotaleE,0.6667547311323277,0.6632078539259068,0.6667547311323277,0.6632078539259068
AI_SuperficieCalcolata,0.6252148416401182,0.6207640574661037,0.6252148416401182,0.6207640574661037
OV_ValoreMercatoMin_normale,0.33566371545755425,0.363476647045394,0.33566371545755425,0.363476647045394
OV_ValoreMercatoMax_normale,0.33525767771059495,0.367808805729018,0.33525767771059495,0.367808805729018
OV_ValoreMercatoMax_ottimo,0.31682649203537977,0.2961190386820871,0.31682649203537977,0.2961190386820871
OV_ValoreMercatoMin_ottimo,0.3030485684171574,0.2841739281416465,0.3030485684171574,0.2841739281416465
II_ST1,-0.2713846658905322,-0.3626800374828337,0.2713846658905322,0.3626800374828337
II_ST19,-0.2702319306196569,-0.3671046535656792,0.2702319306196569,0.3671046535656792
AI_ConsistenzaValore,0.2336856920400109,0.3651220154817005,0.2336856920400109,0.3651220154817005
II_PF3,-0.1849862794680209,-0.23010590828515784,0.1849862794680209,0.23010590828515784
II_P88,-0.1757974767734197,-0.22148658211059485,0.1757974767734197,0.22148658211059485
II_IT3,-0.15747667675922133,-0.15191414802939238,0.15747667675922133,0.15191414802939238
ISC_Abi21,-0.1562889004600787,-0.18850421560992534,0.1562889004600787,0.18850421560992534
II_A8,-0.1562889004600787,-0.18850421560992534,0.1562889004600787,0.18850421560992534
PC_ParticellaNumerica,0.15627416988656548,0.09325860944593954,0.15627416988656548,0.09325860944593954
II_A2,-0.15004572353235943,-0.18092215767882489,0.15004572353235943,0.18092215767882489
ISC_Fam21,-0.14797531287468688,-0.179527269965629,0.14797531287468688,0.179527269965629
II_PF1,-0.14797531287468688,-0.179527269965629,0.14797531287468688,0.179527269965629
ISC_Loc21Id,-0.14569854442417754,-0.19451152004865774,0.14569854442417754,0.19451152004865774
II_P85,-0.13337350482848667,-0.15934803330387137,0.13337350482848667,0.15934803330387137
II_P3,-0.1298320591668035,-0.16754198921078947,0.1298320591668035,0.16754198921078947
AI_IdParticellaCatastale,0.12926717484924108,0.0952896947582728,0.12926717484924108,0.0952896947582728
II_P83,-0.1275516197226183,-0.1673011390018709,0.1275516197226183,0.1673011390018709
ISC_Pop21,-0.12541543475711614,-0.16364822378281468,0.12541543475711614,0.16364822378281468
II_P1,-0.12541543475711614,-0.16364822378281468,0.12541543475711614,0.16364822378281468
II_P84,-0.11883901918106618,-0.15549054344049396,0.11883901918106618,0.15549054344049396
II_P2,-0.11867746932840512,-0.15500851440118438,0.11867746932840512,0.15500851440118438
II_P89,-0.1148051477708833,-0.15132534691106167,0.1148051477708833,0.15132534691106167
PC_Area,-0.10696319746344778,-0.1518871179129139,0.10696319746344778,0.1518871179129139
II_P102,-0.09833299810968799,-0.1492980629258646,0.09833299810968799,0.1492980629258646
PC_Perimetro,-0.09331469952816764,-0.13544495822391603,0.09331469952816764,0.13544495822391603
II_P101,-0.09247411625612924,-0.14024625658214013,0.09247411625612924,0.14024625658214013
ISC_Sez21,-0.08753110802038479,-0.14235934113785023,0.08753110802038479,0.14235934113785023
II_P103,-0.08421494274612336,-0.1254745229496956,0.08421494274612336,0.1254745229496956
A_Numero,0.0638456496921142,0.09561097747614246,0.0638456496921142,0.09561097747614246
II_IT8,-0.05593642237344828,-0.09109240415601581,0.05593642237344828,0.09109240415601581
II_IT2,-0.05260964906304657,-0.09419667710865758,0.05260964906304657,0.09419667710865758
II_IT10,-0.04951504762305191,-0.09272935648524944,0.04951504762305191,0.09272935648524944
II_IT5,-0.04856405829180773,-0.0953113867577601,0.04856405829180773,0.0953113867577601
II_IT11,-0.04765316348318729,-0.09714527574976688,0.04765316348318729,0.09714527574976688
II_P90,-0.04468088333102664,-0.021463663961556963,0.04468088333102664,0.021463663961556963
AI_Numero,0.021628329051943326,0.031417252904565034,0.021628329051943326,0.031417252904565034
ISC_ShapeArea,0.02120955624449561,0.001003349078343241,0.02120955624449561,0.001003349078343241
A_RegPart,0.0008761384318963277,0.004182114642288751,0.0008761384318963277,0.004182114642288751
ISC_ShapeLeng,-0.0004363293473961258,0.0005366578472971006,0.0004363293473961258,0.0005366578472971006
