AI_IdCategoriaCatastale,count,mean,median,std,min,max,cv
00275,1812,20650.14,15786.84,18370.88,270.18,229534.88,88.96
00020,1789,113673.26,90000.0,88421.26,5330.0,1483525.92,77.79
00030,1131,66941.83,58000.0,55453.83,2966.03,1311003.46,82.84
00210,651,8067.45,2595.74,21313.82,178.91,260065.45,264.2
00200,151,90608.35,45000.0,143103.32,384.23,1060000.0,157.94
00100,95,143985.88,79850.62,179212.73,1200.0,1100000.0,124.47
00040,58,45133.06,39800.0,28521.14,8470.59,160000.0,63.19
00070,41,149706.13,145511.75,66934.26,43889.32,326163.87,44.71
00050,4,22358.22,21094.11,24591.93,244.65,47000.0,109.99
00010,1,889313.48,889313.48,,889313.48,889313.48,
