Method,Outliers,Outliers_Pct,Inliers_Mean,Inliers_Median,Inliers_Std,Inliers_Skew,Inliers_Kurt
ENSEMBLE ← Project,253,8.360872438863186,48403.23356742322,40000.0,41444.06601330137,0.7961960732169553,-0.281353426336838
IQR (1.0) ← Project,248,8.19563780568407,48316.58610900355,40000.0,41457.0015322085,0.7974711121365214,-0.27971838313672004
Elliptic Envelope,242,7.997356245869135,48563.471133581115,40000.0,41751.65125355394,0.8058009918818012,-0.25851794653598015
Isolation Forest ← Project,242,7.997356245869135,48860.937693583546,40000.0,41995.72771813753,0.8124617193192171,-0.2388408335801948
LOF,242,7.997356245869135,64575.99956111935,44236.99908670105,70362.33351787727,2.049058687475493,5.765059593344693
IQR (1.5),165,5.452742894910774,52099.70160228764,41000.0,46375.21723814015,0.9640041396491505,0.20863102414006374
Modified Z-Score,127,4.196959682749505,54162.17538472981,42000.0,49432.28665947947,1.0862243814724555,0.6271068979667569
Z-Score (2.5) ← Project,61,2.015862524785195,58401.5892538625,44176.87357276313,56416.397362219555,1.358405468807891,1.6303671986505517
Z-Score (3.0),42,1.3879709187045606,59903.644087259156,45000.0,59291.81980946735,1.4907788278263252,2.2358240577952992
